name,uid,code,parent,shortname
Barlavento,,,YWjndRiBMls,
Sotavento,,,YWjndRiBMls,
Boa Vista,,,YWjndRiBMls,
Brava,,,YWjndRiBMls,
Maio,,,YWjndRiBMls,
Mosteiros,,,YWjndRiBMls,
Paul,,,YWjndRiBMls,
Porto Novo,,,YWjndRiBMls,
Praia,,,YWjndRiBMls,
Ribeira Brava,,,YWjndRiBMls,
Ribeira Grande,,,YWjndRiBMls,
Sal,,,YWjndRiBMls,
Santa Catarina,,,YWjndRiBMls,
Santa Cruz,,,YWjndRiBMls,
São Domingos,,,YWjndRiBMls,
São Filipe,,,YWjndRiBMls,
São Miguel,,,YWjndRiBMls,
São Nicolau,,,YWjndRiBMls,
São Vicente,,,YWjndRiBMls,
Tarrafal,,,YWjndRiBMls,
