name,uid,code,parent,shortname
opendx28,Fu370tZTKYz,0,,opendx28
Senegal,SQIQNlBGBRT,SN,Fu370tZTKYz,Senegal
Mautania,mBfWAWEnyeQ,MR,Fu370tZTKYz,Mauritania
Cabo Verde,YWjndRiBMls,CV,Fu370tZTKYz,Cabo Verde
Canarias,BwaVAn6zKNI,CAN,Fu370tZTKYz,Canarias
Agaete,,,BwaVAn6zKNI,Agaete
Agüimes,,,BwaVAn6zKNI,Agüimes
Antigua,,,BwaVAn6zKNI,Antigua
Arrecife,,,BwaVAn6zKNI,Arrecife
Artenara,,,BwaVAn6zKNI,Artenara
Arucas,,,BwaVAn6zKNI,Arucas
Betancuria,,,BwaVAn6zKNI,Betancuria
Firgas,,,BwaVAn6zKNI,Firgas
Gáldar,,,BwaVAn6zKNI,Gáldar
Haría,,,BwaVAn6zKNI,Haría
Ingenio,,,BwaVAn6zKNI,Ingenio
Mogán,,,BwaVAn6zKNI,Mogán
Moya,,,BwaVAn6zKNI,Moya
La Oliva,,,BwaVAn6zKNI,La Oliva
Pájara,,,BwaVAn6zKNI,Pájara
Las Palmas de Gran Canaria,,,BwaVAn6zKNI,Las Palmas de Gran Canaria
Puerto del Rosario,,,BwaVAn6zKNI,Puerto del Rosario
San Bartolomé,,,BwaVAn6zKNI,San Bartolomé
San Bartolomé de Tirajana,,,BwaVAn6zKNI,San Bartolomé de Tirajana
La Aldea de San Nicolás,,,BwaVAn6zKNI,La Aldea de San Nicolás
Santa Brígida,,,BwaVAn6zKNI,Santa Brígida
Santa Lucía de Tirajana,,,BwaVAn6zKNI,Santa Lucía de Tirajana
Santa María de Guía de Gran Canaria,,,BwaVAn6zKNI,Santa María de Guía de Gran Canaria
Teguise,,,BwaVAn6zKNI,Teguise
Tejeda,,,BwaVAn6zKNI,Tejeda
Telde,,,BwaVAn6zKNI,Telde
Teror,,,BwaVAn6zKNI,Teror
Tías,,,BwaVAn6zKNI,Tías
Tinajo,,,BwaVAn6zKNI,Tinajo
Tuineje,,,BwaVAn6zKNI,Tuineje
Valsequillo de Gran Canaria,,,BwaVAn6zKNI,Valsequillo de Gran Canaria
Valleseco,,,BwaVAn6zKNI,Valleseco
Vega de San Mateo,,,BwaVAn6zKNI,Vega de San Mateo
Yaiza,,,BwaVAn6zKNI,Yaiza
